date,ticker,close
201704,BP,34.32
201705,BP,36.15
201706,BP,34.65
201707,BP,35.14
201708,BP,34.73
201709,BP,38.43
201710,BP,40.67
201711,BP,40.07
201712,BP,42.03
201801,BP,42.79
201802,BP,38.86
201803,BP,40.54
201804,BP,44.59
201805,BP,45.82
201806,BP,45.66
201807,BP,45.09
201808,BP,42.88
201809,BP,46.1
201810,BP,43.37
201811,BP,40.35
201812,BP,37.92
201901,BP,41.12
201902,BP,42.65
201903,BP,43.72
201904,BP,43.73
201905,BP,40.72
201906,BP,41.7
201907,BP,39.74
201908,BP,36.95
201909,BP,37.99
201910,BP,37.91
201911,BP,37.42
201912,BP,37.74
202001,BP,36.13
202002,BP,31.29
202003,BP,24.39
202004,BP,23.8
202005,BP,23.14
202006,BP,23.32
202007,BP,22.04
202008,BP,20.93
202009,BP,17.46
202010,BP,15.48
202011,BP,19.56
202012,BP,20.52
202101,BP,22.22
202102,BP,24.41
202103,BP,24.35
202104,BP,25.16
202105,BP,26.23
202106,BP,26.42
202107,BP,24.18
202108,BP,24.46
202109,BP,27.33
202110,BP,28.79
202111,BP,25.96
202112,BP,26.63
202201,BP,30.92
202202,BP,29.21
202203,BP,29.4
202204,BP,28.72
202205,BP,32.37
202206,BP,28.35
202207,BP,29.38
202208,BP,30.84
202209,BP,28.55
202210,BP,33.28
202211,BP,35.9
202212,BP,34.93
202301,BP,36.23
202302,BP,39.6
202303,BP,37.94
202304,BP,40.28
202305,BP,33.71
202306,BP,35.29
202307,BP,37.3
202308,BP,37.18
202309,BP,38.72
202310,BP,36.58
202311,BP,
200701,BP.U,
200702,BP.U,
200703,BP.U,
200704,BP.U,
200705,BP.U,
200706,BP.U,
200707,BP.U,
200708,BP.U,
200709,BP.U,
200710,BP.U,
200711,BP.U,
200712,BP.U,
200801,BP.U,
200802,BP.U,
200803,BP.U,
200804,BP.U,
200805,BP.U,
200806,BP.U,
200807,BP.U,
200808,BP.U,
200809,BP.U,
200810,BP.U,
200811,BP.U,
200812,BP.U,
200901,BP.U,
200902,BP.U,
200903,BP.U,
200904,BP.U,
200905,BP.U,
200906,BP.U,
200907,BP.U,
200908,BP.U,
200909,BP.U,
200910,BP.U,
200911,BP.U,
200912,BP.U,
201001,BP.U,
201002,BP.U,
201003,BP.U,
201004,BP.U,
201005,BP.U,
201006,BP.U,
201102,BP.U,
201103,BP.U,
201104,BP.U,
201105,BP.U,
201106,BP.U,
201107,BP.U,
201108,BP.U,
201109,BP.U,
201110,BP.U,
201111,BP.U,
201112,BP.U,
201201,BP.U,
201202,BP.U,
201203,BP.U,
201204,BP.U,
201205,BP.U,
201206,BP.U,
201208,BP.U,
201209,BP.U,
201210,BP.U,
201211,BP.U,
201212,BP.U,
201611,BP.U,
201612,BP.U,
201701,BP.U,
201702,BP.U,
201703,BP.U,
201704,BP.U,
201705,BP.U,
201706,BP.U,
201707,BP.U,
201708,BP.U,
201709,BP.U,
201710,BP.U,
201711,BP.U,
201712,BP.U,
201801,BP.U,
201802,BP.U,
201803,BP.U,
201804,BP.U,
201805,BP.U,
201806,BP.U,
201807,BP.U,
201808,BP.U,
201809,BP.U,
201810,BP.U,
201811,BP.U,
201812,BP.U,
201901,BP.U,
201902,BP.U,
201903,BP.U,
201904,BP.U,
201905,BP.U,
201906,BP.U,
201907,BP.U,
201908,BP.U,
201909,BP.U,
201910,BP.U,
201911,BP.U,
201912,BP.U,
202001,BP.U,
202002,BP.U,
202003,BP.U,
202004,BP.U,
202005,BP.U,
202006,BP.U,
202007,BP.U,
202008,BP.U,
202009,BP.U,
202010,BP.U,
202011,BP.U,
202012,BP.U,
202101,BP.U,
202102,BP.U,
202103,BP.U,
202104,BP.U,
202105,BP.U,
202106,BP.U,
202107,BP.U,
202108,BP.U,
202109,BP.U,
202110,BP.U,
202111,BP.U,
202112,BP.U,
202201,BP.U,
202202,BP.U,
202203,BP.U,
202204,BP.U,
202205,BP.U,
202206,BP.U,
202207,BP.U,
202208,BP.U,
202209,BP.U,
202210,BP.U,
202211,BP.U,
202212,BP.U,
202301,BP.U,
202302,BP.U,
202303,BP.U,
202304,BP.U,
202305,BP.U,
202306,BP.U,
202307,BP.U,
202308,BP.U,
202309,BP.U,
202310,BP.U,
202311,BP.U,
200701,SPY,143.75
200702,SPY,140.93
200703,SPY,142
200704,SPY,148.29
200705,SPY,153.32
200706,SPY,150.43
200707,SPY,145.72
200708,SPY,147.59
200709,SPY,152.58
200710,SPY,154.65
200711,SPY,148.66
200712,SPY,146.21
200801,SPY,137.37
200802,SPY,133.82
200803,SPY,131.97
200804,SPY,138.26
200805,SPY,140.35
200806,SPY,127.98
200807,SPY,126.83
200808,SPY,128.79
200809,SPY,115.99
200810,SPY,96.83
200811,SPY,90.09
200812,SPY,90.24
200901,SPY,82.83
200902,SPY,73.93
200903,SPY,79.52
200904,SPY,87.42
200905,SPY,92.53
200906,SPY,91.95
200907,SPY,98.81
200908,SPY,102.46
200909,SPY,105.59
200910,SPY,103.56
200911,SPY,109.94
200912,SPY,111.44
201001,SPY,107.39
201002,SPY,110.74
201003,SPY,117
201004,SPY,118.8125
201005,SPY,109.369
201006,SPY,103.22
201007,SPY,110.27
201008,SPY,105.31
201009,SPY,114.13
201010,SPY,118.49
201011,SPY,118.4925
201012,SPY,125.75
201101,SPY,128.68
201102,SPY,133.15
201103,SPY,132.59
201104,SPY,136.43
201105,SPY,134.9
201106,SPY,131.97
201107,SPY,129.33
201108,SPY,122.22
201109,SPY,113.15
201110,SPY,125.5
201111,SPY,124.99
201112,SPY,125.5
201201,SPY,131.32
201202,SPY,137.02
201203,SPY,140.81
201204,SPY,139.87
201205,SPY,131.47
201206,SPY,136.105
201207,SPY,137.71
201208,SPY,141.16
201209,SPY,143.97
201210,SPY,141.35
201211,SPY,142.155
201212,SPY,142.41
201301,SPY,149.7
201302,SPY,151.61
201303,SPY,156.67
201304,SPY,159.68
201305,SPY,163.445
201306,SPY,160.42
201307,SPY,168.71
201308,SPY,163.65
201309,SPY,168.01
201310,SPY,175.79
201311,SPY,181
201312,SPY,184.69
201401,SPY,178.18
201402,SPY,186.29
201403,SPY,187.01
201404,SPY,188.31
201405,SPY,192.68
201406,SPY,195.72
201407,SPY,193.09
201408,SPY,200.71
201409,SPY,197.02
201410,SPY,201.66
201411,SPY,207.2
201412,SPY,205.54
201501,SPY,199.45
201502,SPY,210.66
201503,SPY,206.43
201504,SPY,208.46
201505,SPY,211.14
201506,SPY,205.85
201507,SPY,210.5
201508,SPY,197.67
201509,SPY,191.63
201510,SPY,207.93
201511,SPY,208.69
201512,SPY,203.87
201601,SPY,193.7208
201602,SPY,193.56
201603,SPY,205.52
201604,SPY,206.3308
201605,SPY,209.84
201606,SPY,209.475
201607,SPY,217.12
201608,SPY,217.38
201609,SPY,216.3
201610,SPY,212.55
201611,SPY,220.38
201612,SPY,223.53
201701,SPY,227.53
201702,SPY,236.47
201703,SPY,235.74
201704,SPY,238.08
201705,SPY,241.44
201706,SPY,241.8
201707,SPY,246.77
201708,SPY,247.49
201709,SPY,251.23
201710,SPY,257.15
201711,SPY,265.01
201712,SPY,266.86
201801,SPY,281.9
201802,SPY,271.65
201803,SPY,263.15
201804,SPY,264.51
201805,SPY,270.94
201806,SPY,271.28
201807,SPY,281.33
201808,SPY,290.31
201809,SPY,290.72
201810,SPY,270.63
201811,SPY,275.65
201812,SPY,249.92
201901,SPY,269.93
201902,SPY,278.68
201903,SPY,282.48
201904,SPY,294.02
201905,SPY,275.27
201906,SPY,293
201907,SPY,297.43
201908,SPY,292.45
201909,SPY,296.77
201910,SPY,303.33
201911,SPY,314.31
201912,SPY,321.86
202001,SPY,321.73
202002,SPY,296.26
202003,SPY,257.75
202004,SPY,290.48
202005,SPY,304.32
202006,SPY,308.36
202007,SPY,326.52
202008,SPY,349.31
202009,SPY,334.89
202010,SPY,326.54
202011,SPY,362.06
202012,SPY,373.88
202101,SPY,370.07
202102,SPY,380.36
202103,SPY,396.33
202104,SPY,417.3
202105,SPY,420.04
202106,SPY,428.06
202107,SPY,438.51
202108,SPY,451.56
202109,SPY,429.14
202110,SPY,459.25
202111,SPY,455.56
202112,SPY,474.96
202201,SPY,449.91
202202,SPY,436.63
202203,SPY,451.64
202204,SPY,412
202205,SPY,412.93
202206,SPY,377.25
202207,SPY,411.99
202208,SPY,395.18
202209,SPY,357.18
202210,SPY,386.21
202211,SPY,407.68
202212,SPY,382.43
202301,SPY,406.48
202302,SPY,396.26
202303,SPY,409.39
202304,SPY,415.93
202305,SPY,417.85
202306,SPY,443.28
202307,SPY,457.79
202308,SPY,450.35
202309,SPY,427.48
202310,SPY,418.2
200706,BX,29.27
200707,BX,24.01
200708,BX,23.13
200709,BX,25.08
200710,BX,25.43
200711,BX,22
200712,BX,22.13
200801,BX,18.35
200802,BX,16.5
200803,BX,15.88
200804,BX,18.67
200805,BX,19.47
200806,BX,18.21
200807,BX,18.57
200808,BX,17.88
200809,BX,15.34
200810,BX,9.14
200811,BX,6.26
200812,BX,6.53
200901,BX,4.51
200902,BX,4.87
200903,BX,7.25
200904,BX,9.79
200905,BX,10.95
200906,BX,10.54
200907,BX,11.26
200908,BX,12.89
200909,BX,14.2
200910,BX,13.42
200911,BX,13.84
200912,BX,13.12
201001,BX,12.13
201002,BX,13.98
201003,BX,14
201004,BX,13.98
201005,BX,10.65
201006,BX,9.56
201007,BX,11.15
201008,BX,10.09
201009,BX,12.69
201010,BX,13.48
201011,BX,12.8
201012,BX,14.15
201101,BX,15.73
201102,BX,17.8
201103,BX,17.88
201104,BX,18.94
201105,BX,17.24
201106,BX,16.56
201107,BX,16.61
201108,BX,13.71
201109,BX,11.98
201110,BX,14.71
201111,BX,13.73
201112,BX,14.01
